2022-08-20 23:56:41.9337||ERROR|IntelliCRMAPIService.Program|Error occurred--Unable to resolve service for type 'Microsoft.Extensions.Logging.ILogger`1[IntelliCRMAPIService.Startup]' while attempting to activate 'IntelliCRMAPIService.Startup'. |url: |action: 
2022-08-20 23:56:53.2631||ERROR|IntelliCRMAPIService.Program|Error occurred--Unable to resolve service for type 'Microsoft.Extensions.Logging.ILogger`1[IntelliCRMAPIService.Startup]' while attempting to activate 'IntelliCRMAPIService.Startup'. |url: |action: 
2022-08-20 23:59:12.9670||INFO|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|User profile is available. Using 'C:\Users\harik\AppData\Local\ASP.NET\DataProtection-Keys' as key repository and Windows DPAPI to encrypt keys at rest. |url: |action: 
2022-08-20 23:59:14.8629||INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5099 |url: |action: 
2022-08-20 23:59:14.8629||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2022-08-20 23:59:14.8629||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2022-08-20 23:59:14.8726||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\TestHeroku\intelli-backend\TestHeroku |url: |action: 
2022-08-20 23:59:17.3768||INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/1.1 GET http://localhost:5099/swagger/index.html - - |url: http://localhost/swagger/index.html|action: 
2022-08-20 23:59:18.4238||INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/1.1 GET http://localhost:5099/_framework/aspnetcore-browser-refresh.js - - |url: http://localhost/_framework/aspnetcore-browser-refresh.js|action: 
2022-08-20 23:59:18.5306||INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/1.1 GET http://localhost:5099/swagger/index.html - - - 200 - text/html;charset=utf-8 1155.8059ms |url: http://localhost/swagger/index.html|action: 
2022-08-20 23:59:18.5306||INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/1.1 GET http://localhost:5099/_framework/aspnetcore-browser-refresh.js - - - 200 11944 application/javascript;+charset=utf-8 106.3733ms |url: http://localhost/_framework/aspnetcore-browser-refresh.js|action: 
2022-08-20 23:59:18.9450||INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/1.1 GET http://localhost:5099/swagger/v1/swagger.json - - |url: http://localhost/swagger/v1/swagger.json|action: 
2022-08-20 23:59:19.5483||INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/1.1 GET http://localhost:5099/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 603.2915ms |url: http://localhost/swagger/v1/swagger.json|action: 
2022-08-20 23:59:46.9122||INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/1.1 GET http://localhost:5099/api/Healthcheck - - |url: http://localhost/api/Healthcheck|action: 
2022-08-20 23:59:48.4750||INFO|IntelliCRMAPIService.Middleware.AuthenticationMiddleware|Authentication started |url: http://localhost/api/Healthcheck|action: Healthcheck
2022-08-20 23:59:48.4837||INFO|Microsoft.AspNetCore.Routing.EndpointMiddleware|Executing endpoint 'IntelliCRMAPIService.Controllers.HealthcheckController.Healthcheck (TestHeroku)' |url: http://localhost/api/Healthcheck|action: Healthcheck
2022-08-20 23:59:48.4986||INFO|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|Route matched with {action = "Healthcheck", controller = "Healthcheck"}. Executing controller action with signature Microsoft.AspNetCore.Mvc.ActionResult`1[System.String] Healthcheck() on controller IntelliCRMAPIService.Controllers.HealthcheckController (TestHeroku). |url: http://localhost/api/Healthcheck|action: Healthcheck
2022-08-20 23:59:48.4986||INFO|Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor|Executing ObjectResult, writing value of type 'System.String'. |url: http://localhost/api/Healthcheck|action: Healthcheck
2022-08-20 23:59:48.5151||INFO|Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker|Executed action IntelliCRMAPIService.Controllers.HealthcheckController.Healthcheck (TestHeroku) in 10.5577ms |url: http://localhost/api/Healthcheck|action: Healthcheck
2022-08-20 23:59:48.5151||INFO|Microsoft.AspNetCore.Routing.EndpointMiddleware|Executed endpoint 'IntelliCRMAPIService.Controllers.HealthcheckController.Healthcheck (TestHeroku)' |url: http://localhost/api/Healthcheck|action: Healthcheck
2022-08-20 23:59:48.5151||INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request finished HTTP/1.1 GET http://localhost:5099/api/Healthcheck - - - 200 - text/plain;+charset=utf-8 1603.4455ms |url: http://localhost/api/Healthcheck|action: Healthcheck
2022-08-20 23:59:59.9349||INFO|Microsoft.AspNetCore.Hosting.Diagnostics|Request starting HTTP/1.1 GET http://localhost:5099/api/Healthcheck - - |url: http://localhost/api/Healthcheck|action: 
